"spkid","full_name","epoch_mjd","a","e","i","om","w","ma"
3949009,"       (2019 YA3)",60800,0.9397,0.2680,1.53,257.54,62.33,64.12
3949010,"       (2019 YB3)",58842,1.349,0.1953,30.39,266.16,192.82,354.15
3951324,"       (2019 YD3)",60800,1.526,0.3489,1.20,100.41,27.01,286.43
3951326,"       (2019 YG3)",58843,1.653,0.2858,8.84,201.03,262.51,349.00
3951328,"       (2019 YJ3)",60800,2.835,0.6587,4.30,79.87,79.75,33.92
3952749,"       (2019 YL3)",60800,2.809,0.6569,3.81,99.37,21.20,46.06
3952748,"       (2019 YM3)",60800,2.476,0.5990,13.61,283.65,151.89,139.00
3956447,"       (2019 YO3)",58847,1.943,0.4933,4.28,276.46,163.67,5.42
3956448,"       (2019 YP3)",60800,2.308,0.5939,6.67,272.30,151.56,196.82
3956449,"       (2019 YQ3)",60800,1.39,0.2654,2.57,259.87,218.05,82.40
3956450,"       (2019 YR3)",58845,2.038,0.7862,9.31,94.96,108.87,344.10
3956451,"       (2019 YS3)",60800,1.01,0.1689,10.53,275.35,276.36,20.03
3956452,"       (2019 YT3)",60800,1.275,0.2789,4.14,274.75,242.47,222.31
3959218,"       (2019 YU3)",60800,1.467,0.5645,5.14,107.78,257.61,37.74
3959219,"       (2019 YV3)",60800,1.733,0.6082,9.82,143.87,52.71,91.44
3959220,"       (2019 YW3)",60800,1.481,0.2847,4.01,198.70,323.19,316.76
3959221,"       (2019 YZ3)",60800,1.754,0.5958,23.38,275.41,257.65,85.79
3959222,"       (2019 YA4)",60800,0.9231,0.4703,2.82,119.70,206.63,89.63
3959223,"       (2019 YB4)",60800,0.9936,0.1925,0.54,324.37,236.83,60.02
3959224,"       (2019 YC4)",60800,1.5,0.2059,19.82,124.52,304.84,345.99
3959225,"       (2019 YE4)",60800,2.092,0.4753,6.24,112.82,23.76,264.43
3959226,"       (2019 YF4)",60800,1.263,0.2149,0.21,259.96,216.83,264.04
3959227,"       (2019 YG4)",60800,1.691,0.3039,11.54,97.28,297.03,198.10
3959228,"       (2019 YH4)",60800,2.243,0.5042,42.74,292.66,247.10,184.28
3959229,"       (2019 YJ4)",60800,2.735,0.6106,25.67,303.35,230.95,53.79
3959230,"       (2019 YK4)",60800,2.35,0.6629,26.04,102.59,283.24,188.61
3959231,"       (2019 YL4)",60800,0.9714,0.1697,8.10,107.71,176.46,25.92
3959232,"       (2019 YM4)",58861,1.282,0.1759,11.65,96.52,31.10,350.43
3959233,"       (2019 YN4)",58846,1.084,0.2390,17.59,277.62,358.15,184.92
3959234,"       (2019 YO4)",60800,1.277,0.0359,45.52,97.71,115.11,134.36
3963425,"       (2019 YP4)",60800,2.003,0.4001,4.28,134.77,345.58,313.81
3963427,"       (2019 YR4)",60800,1.996,0.6795,26.61,93.31,148.06,275.64
3963429,"       (2019 YT4)",60800,1.679,0.3931,3.71,111.03,310.31,181.31
3963430,"       (2019 YU4)",58851,1.561,0.2639,0.91,56.90,57.17,353.23
3963431,"       (2019 YV4)",58848,2.586,0.7413,3.64,94.56,283.51,11.18
3968752,"       (2019 YY4)",58849,1.77,0.5646,22.09,279.26,103.45,22.53
3968753,"       (2019 YZ4)",58848,2.578,0.7244,5.43,92.28,288.16,12.47
3968754,"       (2019 YA5)",60800,1.154,0.1808,3.11,303.65,222.74,63.29
3968755,"       (2019 YB5)",58848,1.101,0.3419,4.81,74.78,280.42,64.90
3968756,"       (2019 YC5)",60800,2.651,0.5221,11.74,278.07,163.99,92.86
3968757,"       (2019 YD5)",60800,1.42,0.2794,7.93,114.31,335.66,61.32
3968758,"       (2019 YE5)",58848,1.373,0.2183,19.53,94.98,16.10,353.32
3968760,"       (2019 YP5)",60800,0.9766,0.3843,10.36,318.16,299.01,67.38
3968761,"       (2019 YQ5)",60800,1.188,0.1546,9.47,285.52,211.89,15.57
3968764,"       (2019 YR5)",60800,2.627,0.8722,19.73,118.05,226.54,110.53
3968766,"       (2019 YU5)",58849,1.489,0.2840,17.37,294.90,163.95,359.64
3968767,"       (2019 YV5)",58849,2.48,0.6532,6.48,312.67,203.70,349.48
3968768,"       (2019 YW5)",58849,1.924,0.4825,13.84,77.49,339.25,14.07
3971129,"       (2019 YX5)",60800,2.767,0.5360,17.29,113.73,3.35,58.94
3971130,"       (2019 YY5)",60800,1.487,0.5485,12.85,161.40,215.22,18.78
3971131,"       (2019 YZ5)",60800,2.209,0.5692,36.34,294.19,98.13,256.67
3971132,"       (2019 YA6)",58849,2.485,0.5690,31.38,275.07,169.11,3.47
3971136,"       (2019 YK6)",60800,2.392,0.4960,12.63,131.48,356.05,155.94
3971137,"       (2019 YL6)",60800,0.9327,0.0957,7.64,268.20,347.30,186.04
3971139,"       (2019 YM6)",60800,1.064,0.2351,20.81,123.46,97.45,213.22
3971140,"       (2019 YN6)",60800,2.143,0.4334,4.48,169.99,325.87,238.25
3971141,"       (2019 YO6)",60800,2.222,0.4584,12.54,145.67,301.69,222.76
3972416,"       (2019 YR6)",60800,1.03,0.5170,19.09,283.00,8.16,235.29
3986635,"       (2019 YX6)",58843,3.514,0.8916,1.85,317.96,18.22,7.35
3989163,"       (2019 YG7)",60800,3.084,0.6099,17.73,327.11,248.53,322.50
3968759,"       (2020 AB)",60800,1.676,0.4111,4.85,283.99,157.48,173.11
3968762,"       (2020 AC)",60800,0.954,0.1107,9.38,280.03,295.75,158.98
3968763,"       (2020 AD)",60800,1.81,0.5736,10.40,99.55,67.72,51.92
3968765,"       (2020 AE)",60800,0.943,0.2360,2.18,67.05,159.57,197.99
3968769,"       (2020 AG)",58848,1.329,0.3879,1.73,47.31,336.20,36.41
3971133,"       (2020 AJ)",60800,2.455,0.5823,15.67,289.27,136.25,155.34
3971134,"       (2020 AK)",60800,1.866,0.5272,8.14,243.14,344.75,359.06
3971138,"       (2020 AL)",60800,1.575,0.2996,5.50,327.15,115.00,262.14
3972413,"       (2020 AM)",60800,1.758,0.3618,3.37,339.79,112.60,108.87
3972414,"       (2020 AN)",60800,1.773,0.6193,16.36,50.38,171.70,49.32
3972415,"       (2020 AO)",58851,1.423,0.6069,5.67,307.51,264.38,323.90
3972417,"       (2020 AP)",58850,2.292,0.6659,7.92,279.20,112.59,13.16
3972418,"       (2020 AQ)",60800,1.822,0.3435,25.54,303.32,84.28,97.72
3972419,"       (2020 AT)",60800,0.986,0.2459,14.66,102.77,244.63,249.31
3972420,"       (2020 AU)",60800,1.228,0.1427,2.03,196.64,265.38,333.19
3972422,"       (2020 AW)",60800,0.8082,0.2339,0.36,321.15,315.78,311.70
3972421,"       (2020 AX)",58852,2.367,0.5644,5.98,95.61,9.55,359.57
3973542,"       (2020 AC1)",60800,0.8601,0.2202,5.99,282.32,38.07,10.63
3973543,"       (2020 AD1)",60800,1.053,0.1444,3.65,98.19,99.85,265.10
3973544,"       (2020 AE1)",58852,1.29,0.2354,4.43,283.38,206.78,342.82
3973545,"       (2020 AF1)",58852,1.189,0.1081,15.52,97.56,314.36,41.46
3973546,"       (2020 AG1)",60800,1.261,0.1994,13.31,96.48,83.02,221.55
3973547,"       (2020 AH1)",60800,1.714,0.4306,4.53,298.07,208.07,119.53
3973548,"       (2020 AJ1)",58853,1.439,0.6201,22.92,102.16,104.33,328.86
3976530,"       (2020 AM1)",60800,2.204,0.4849,3.69,322.50,136.36,228.86
3976532,"       (2020 AN1)",60800,2.512,0.6402,2.29,108.50,316.34,129.16
3976531,"       (2020 AO1)",60800,1.906,0.6264,4.19,294.38,252.41,350.12
3976533,"       (2020 AP1)",60800,1.599,0.3857,2.21,100.94,350.50,237.97
3976534,"       (2020 AQ1)",60800,1.701,0.7118,28.43,298.49,284.28,117.11
3976535,"       (2020 AR1)",58853,1.788,0.4857,0.21,346.61,160.33,346.26
3976537,"       (2020 AS1)",58854,1.723,0.4144,1.25,93.93,32.88,351.78
3976536,"       (2020 AT1)",60800,1.345,0.3031,3.20,281.81,224.10,127.83
3976538,"       (2020 AU1)",60800,1.926,0.4839,1.19,302.41,165.64,356.77
3976539,"       (2020 AV1)",58853,1.121,0.2684,17.34,104.17,83.04,306.45
3976540,"       (2020 AW1)",58856,2.114,0.5125,3.76,94.80,32.83,354.38
3976541,"       (2020 AX1)",58853,2.432,0.6043,0.89,33.01,112.21,351.72
3976542,"       (2020 AY1)",60800,0.8816,0.2223,1.02,31.62,294.84,278.06
3976543,"       (2020 AZ1)",60800,0.9161,0.0965,6.29,289.16,348.47,217.88
3976544,"       (2020 AA2)",58853,1.989,0.5303,4.79,104.41,321.19,10.65
3976545,"       (2020 AB2)",60800,0.8043,0.3265,2.62,102.20,156.14,8.83
3976578,"       (2020 AE2)",60800,1.366,0.1368,25.00,275.44,200.29,117.68
3976579,"       (2020 AF2)",60800,1.111,0.1181,9.82,96.90,311.38,246.38
3978223,"       (2020 AL2)",58854,2.271,0.7760,3.06,103.68,102.30,346.09
3978224,"       (2020 AM2)",58855,2.466,0.5933,11.79,106.83,347.17,2.60
3978225,"       (2020 AN2)",58855,2.45,0.6656,1.02,259.86,144.50,10.75
3978226,"       (2020 AO2)",58853,0.9169,0.4602,18.09,301.41,300.02,278.22
3985565,"       (2020 AP2)",58854,1.084,0.0028,22.08,282.58,210.62,330.91
3985566,"       (2020 AQ2)",58854,2.387,0.5665,1.35,277.84,194.30,358.68
3985567,"       (2020 AR2)",60800,2.075,0.5296,7.39,58.69,124.49,260.75
3985568,"       (2020 AS2)",60800,1.989,0.5242,5.76,107.28,321.26,335.42
3985570,"       (2020 AU2)",58852,2.338,0.5679,9.03,110.39,350.17,0.67
3985572,"       (2020 AW2)",60800,1.327,0.2385,10.76,297.00,179.87,171.28
3986628,"       (2020 AX2)",60800,1.354,0.3018,3.16,114.96,36.92,112.75
3986629,"       (2020 AY2)",60800,3.038,0.5958,9.40,288.74,196.09,359.15
3986630,"       (2020 AZ2)",60800,1.881,0.3750,1.83,284.02,228.82,6.88
3986631,"       (2020 AA3)",60800,2.35,0.5492,22.35,71.17,18.04,182.40
3986632,"       (2020 AB3)",58865,2.212,0.8240,7.98,106.22,143.58,343.22
3986633,"       (2020 AC3)",60800,2.638,0.5936,25.16,100.41,92.55,70.82
3986636,"       (2020 AD3)",60800,0.9828,0.5947,2.64,268.42,73.83,225.87
3986637,"       (2020 AE3)",60800,0.82,0.2892,28.10,108.51,214.07,190.31
3986639,"       (2020 AF3)",60800,2.411,0.5801,24.37,325.78,78.03,177.31
3986677,"       (2020 AH3)",60800,0.9472,0.0685,27.67,109.99,208.15,62.54
3986678,"       (2020 AJ3)",58864,2.534,0.5958,13.48,113.94,347.47,2.82
3986679,"       (2020 AK3)",60800,0.9884,0.1401,10.93,301.92,283.25,45.80
3986680,"       (2020 AL3)",60800,0.9811,0.3941,8.48,114.11,115.50,94.97
3986681,"       (2020 AM3)",60800,1.239,0.5431,8.71,303.70,275.62,262.46
3986682,"       (2020 AN3)",60800,2.164,0.5509,26.27,294.39,167.74,242.18
3986683,"       (2020 AO3)",60800,1.097,0.0516,14.10,302.16,185.12,210.40
3986685,"       (2020 AP3)",60800,0.9033,0.1890,2.35,77.65,255.40,196.56
3986686,"       (2020 AQ3)",58863,2.05,0.5491,11.23,307.43,206.35,350.09
54293876,"       (2020 AQ24)",58861,0.9933,0.0397,31.93,293.73,288.06,254.47
3986698,"       (2020 BB)",60800,1.234,0.2114,0.23,302.55,202.07,292.89
3986699,"       (2020 BC)",60800,1.205,0.1674,9.72,112.27,11.80,354.51
3986700,"       (2020 BD)",60800,2.048,0.5686,1.88,92.79,336.41,301.89
3986701,"       (2020 BE)",58868,0.9372,0.1155,47.66,119.15,176.15,181.86
3986725,"       (2020 BH)",60800,1.302,0.2423,0.60,106.94,354.32,212.24
3986726,"       (2020 BJ)",58869,2.202,0.5301,6.90,295.05,191.55,358.74
3986727,"       (2020 BK)",60800,1.25,0.2201,3.48,113.74,32.54,265.68
3986728,"       (2020 BL)",60800,2.035,0.5055,5.27,111.28,8.41,295.54
3986729,"       (2020 BM)",58869,1.818,0.4475,9.45,110.58,16.37,358.12
3986730,"       (2020 BN)",58869,1.852,0.4556,4.41,305.54,175.83,359.61
3986731,"       (2020 BO)",60800,1.317,0.2294,18.71,116.88,358.09,182.04
3986732,"       (2020 BP)",60800,2.074,0.6407,2.17,299.13,249.77,262.04
3986733,"       (2020 BQ)",58870,1.476,0.3220,30.62,117.93,18.82,352.95
3986734,"       (2020 BR)",58868,1.898,0.8362,35.74,298.03,305.29,342.51
