"spkid","full_name","epoch_mjd","a","e","i","om","w","ma"
20000433,"   433 Eros (A898 PA)",60800,1.458,0.2227,10.83,304.27,178.92,198.60
20000719,"   719 Albert (A911 TB)",60800,2.636,0.5467,11.57,183.86,156.20,194.53
20000887,"   887 Alinda (A918 AA)",60800,2.473,0.5712,9.40,110.41,350.52,30.88
20001036,"  1036 Ganymed (A924 UB)",60800,2.666,0.5330,26.68,215.48,132.50,52.27
20001221,"  1221 Amor (1932 EA1)",60800,1.92,0.4346,11.87,171.24,26.76,345.77
20001566,"  1566 Icarus (1949 MA)",60800,1.078,0.8270,22.80,87.95,31.44,336.97
20001580,"  1580 Betulia (1950 KA)",60800,2.195,0.4876,52.19,62.23,159.73,19.64
20001620,"  1620 Geographos (1951 RA)",60800,1.246,0.3356,13.34,337.15,277.00,71.15
20001627,"  1627 Ivar (1929 SH)",60800,1.863,0.3972,8.46,133.07,167.84,233.93
20001685,"  1685 Toro (1948 OA)",60800,1.368,0.4360,9.38,274.21,127.28,319.46
20001862,"  1862 Apollo (1932 HA)",60800,1.471,0.5598,6.35,35.56,286.03,3.40
20001863,"  1863 Antinous (1948 EA)",60800,2.261,0.6063,18.36,345.69,268.90,231.67
20001864,"  1864 Daedalus (1971 FA)",60800,1.461,0.6144,22.21,6.60,325.66,145.92
20001865,"  1865 Cerberus (1971 UA)",60800,1.08,0.4669,16.10,212.89,325.29,144.03
20001866,"  1866 Sisyphus (1972 XA)",60800,1.894,0.5381,41.21,63.45,293.11,64.98
20001915,"  1915 Quetzalcoatl (1953 EA)",60800,2.545,0.5703,20.40,162.93,347.75,333.06
20001916,"  1916 Boreas (1953 RA)",60800,2.273,0.4493,12.88,340.60,335.85,337.58
20001917,"  1917 Cuyo (1968 AA)",60800,2.149,0.5056,23.96,188.27,194.56,97.51
20001943,"  1943 Anteros (1973 EC)",60800,1.43,0.2561,8.71,246.29,338.44,145.15
20001980,"  1980 Tezcatlipoca (1950 LA)",60800,1.709,0.3647,26.87,246.54,115.48,123.27
20001981,"  1981 Midas (1973 EA)",60800,1.776,0.6505,39.82,356.79,267.85,342.08
20002059,"  2059 Baboquivari (1963 UA)",60800,2.642,0.5317,11.02,200.69,192.45,97.25
20002061,"  2061 Anza (1960 UA)",60800,2.265,0.5355,3.80,207.36,157.09,341.07
20002062,"  2062 Aten (1976 AA)",60800,0.967,0.1829,18.94,108.53,148.07,185.34
20002063,"  2063 Bacchus (1977 HB)",60800,1.078,0.3494,9.44,33.04,55.34,58.68
20002100,"  2100 Ra-Shalom (1978 RA)",60800,0.832,0.4365,15.76,170.78,356.07,349.36
20002101,"  2101 Adonis (1936 CA)",60800,1.874,0.7641,1.32,349.41,43.71,307.64
20002102,"  2102 Tantalus (1975 YA)",60800,1.29,0.2994,64.01,94.35,61.51,212.81
20002135,"  2135 Aristaeus (1977 HA)",60800,1.6,0.5031,23.07,191.11,290.98,299.74
20002201,"  2201 Oljato (1947 XC)",60800,2.179,0.7107,2.52,74.87,98.37,35.72
20002202,"  2202 Pele (1972 RA)",60800,2.291,0.5129,8.74,169.90,217.99,52.71
20002212,"  2212 Hephaistos (1978 SB)",60800,2.167,0.8351,11.23,26.70,210.35,246.51
20002329,"  2329 Orthos (1976 WA)",60800,2.41,0.6533,24.46,169.28,146.05,18.66
20002340,"  2340 Hathor (1976 UA)",60800,0.8438,0.4500,5.86,211.29,40.11,307.69
20002368,"  2368 Beltrovata (1977 RA)",60800,2.105,0.4135,5.22,287.29,43.06,223.23
20002608,"  2608 Seneca (1978 DA)",60800,2.531,0.5647,14.43,166.43,38.69,321.76
20003102,"  3102 Krok (1981 QA)",60800,2.151,0.4492,8.44,172.05,154.75,304.28
20003103,"  3103 Eger (1982 BB)",60800,1.404,0.3542,20.93,129.73,254.12,62.61
20003122,"  3122 Florence (1981 ET3)",60800,1.769,0.4232,22.14,336.04,27.90,84.45
20003199,"  3199 Nefertiti (1982 RA)",60800,1.575,0.2842,32.96,339.98,53.44,178.73
20003200,"  3200 Phaethon (1983 TB)",60800,1.271,0.8898,22.31,265.09,322.31,26.46
20003271,"  3271 Ul (1982 RB)",60800,2.102,0.3956,25.07,158.81,159.07,9.31
20003288,"  3288 Seleucus (1982 DV)",60800,2.035,0.4545,5.93,218.59,349.38,308.96
20003352,"  3352 McAuliffe (1981 CW)",60800,1.879,0.3691,4.77,107.33,16.08,64.38
20003360,"  3360 Syrinx (1981 VA)",60800,2.468,0.7463,21.13,242.42,63.56,100.38
20003361,"  3361 Orpheus (1982 HR)",60800,1.21,0.3229,2.66,188.67,302.35,172.55
20003362,"  3362 Khufu (1984 QA)",60800,0.9895,0.4685,9.92,152.40,55.09,200.12
20003551,"  3551 Verenia (1983 RD)",60800,2.093,0.4869,9.51,173.78,193.30,268.20
20003552,"  3552 Don Quixote (1983 SA)",60800,4.268,0.7072,31.05,349.97,316.51,285.88
20003553,"  3553 Mera (1985 JA)",60800,1.645,0.3199,36.78,232.49,288.89,23.17
20003554,"  3554 Amun (1986 EB)",60800,0.974,0.2806,23.36,358.60,359.42,71.63
20003671,"  3671 Dionysus (1984 KD)",60800,2.199,0.5431,13.54,82.05,204.35,191.69
20003691,"  3691 Bede (1982 FT)",60800,1.774,0.2844,20.35,348.69,235.08,68.47
20003752,"  3752 Camillo (1985 PA)",60800,1.414,0.3016,55.56,147.95,312.23,126.07
20003753,"  3753 Cruithne (1986 TO)",60800,0.9978,0.5149,19.80,126.19,43.88,146.58
20003757,"  3757 Anagolay (1982 XB)",60800,1.835,0.4459,3.87,74.93,17.23,13.03
20003838,"  3838 Epona (1986 WA)",60800,1.505,0.7028,29.20,235.46,49.72,332.56
20003908,"  3908 Nyx (1980 PA)",60800,1.928,0.4591,2.19,261.19,126.66,239.34
20003988,"  3988 Huma (1986 LA)",60800,1.544,0.3165,10.77,229.79,86.92,59.05
20004015,"  4015 Wilson-Harrington (1979 VA)",60800,2.626,0.6310,2.80,266.72,95.52,228.08
20004034,"  4034 Vishnu (1986 PA)",60800,1.059,0.4440,11.17,157.87,296.69,81.17
20004055,"  4055 Magellan (1985 DO2)",60800,1.82,0.3261,23.25,164.81,154.37,347.61
20004179,"  4179 Toutatis (1989 AC)",60800,2.543,0.6248,0.45,125.36,277.87,28.28
20004183,"  4183 Cuno (1959 LM)",60800,1.981,0.6362,6.67,294.35,237.02,246.65
20004197,"  4197 Morpheus (1982 TA)",60800,2.295,0.7724,12.60,7.00,122.56,53.80
20004257,"  4257 Ubasti (1987 QA)",60800,1.647,0.4683,40.72,169.14,278.95,254.18
20004341,"  4341 Poseidon (1987 KF)",60800,1.834,0.6800,11.84,108.02,15.83,123.37
20004401,"  4401 Aditi (1985 TB)",60800,2.584,0.5634,26.62,22.77,68.17,180.92
20004450,"  4450 Pan (1987 SY)",60800,1.442,0.5866,5.52,311.67,292.00,305.90
20004486,"  4486 Mithra (1987 SB)",60800,2.207,0.6608,3.04,82.19,169.21,216.37
20004487,"  4487 Pocahontas (1987 UA)",60800,1.73,0.2966,16.41,198.10,173.98,182.47
20004503,"  4503 Cleobulus (1989 WM)",60800,2.704,0.5248,2.51,45.94,76.25,332.15
20004544,"  4544 Xanthus (1989 FB)",60800,1.042,0.2502,14.14,23.94,333.84,179.82
20004581,"  4581 Asclepius (1989 FC)",60800,1.023,0.3570,4.92,180.20,255.38,42.74
20004596,"  4596 (1981 QB)",60800,2.239,0.5200,37.07,154.19,248.43,349.01
20004660,"  4660 Nereus (1982 DB)",60800,1.485,0.3588,1.45,313.11,159.55,300.88
20004688,"  4688 (1980 WF)",60800,2.233,0.5179,6.38,241.23,213.82,104.41
20004769,"  4769 Castalia (1989 PB)",60800,1.063,0.4832,8.88,325.51,121.45,143.95
20004947,"  4947 Ninkasi (1988 TJ1)",60800,1.37,0.1684,15.65,215.42,192.94,267.46
20004953,"  4953 (1990 MU)",60800,1.622,0.6574,24.38,77.53,77.93,20.51
20004954,"  4954 Eric (1990 SQ)",60800,2.001,0.4494,17.43,358.40,52.62,57.55
20004957,"  4957 Brucemurray (1990 XJ)",60800,1.565,0.2188,35.01,254.88,97.46,251.14
20005011,"  5011 Ptah (6743 P-L)",60800,1.636,0.5002,7.41,10.62,105.96,267.86
20005131,"  5131 (1990 BG)",60800,1.486,0.5692,36.44,110.33,135.88,106.91
20005143,"  5143 Heracles (1991 VL)",60800,1.835,0.7711,8.98,309.09,228.21,124.80
20005189,"  5189 (1990 UQ)",60800,1.552,0.4783,3.58,135.05,159.94,359.64
20005324,"  5324 Lyapunov (1987 SL)",60800,2.981,0.6056,19.63,352.10,321.14,140.30
20005332,"  5332 Davidaguilar (1990 DA)",60800,2.163,0.4557,25.52,142.76,306.08,41.54
20005370,"  5370 Taranis (1986 RA)",60800,3.319,0.6370,19.17,177.78,161.29,123.40
20005381,"  5381 Sekhmet (1991 JY)",60800,0.9474,0.2964,48.97,58.53,37.42,52.88
20005496,"  5496 (1973 NA)",60800,2.436,0.6347,68.01,101.02,117.96,247.37
20005587,"  5587 (1990 SB)",60800,2.401,0.5443,18.04,189.60,87.26,156.74
20005590,"  5590 (1990 VA)",60800,0.9864,0.2801,14.18,216.25,34.49,227.11
20005604,"  5604 (1992 FE)",60800,0.93,0.4065,4.70,311.94,82.77,129.86
20005620,"  5620 Jasonwheeler (1990 OA)",60800,2.159,0.4228,7.87,128.64,153.74,354.27
20005626,"  5626 Melissabrucker (1991 FE)",60800,2.195,0.4546,3.85,173.08,231.88,260.64
20005645,"  5645 (1990 SP)",60800,1.355,0.3873,13.51,45.70,48.28,289.51
20005646,"  5646 (1990 TR)",60800,2.144,0.4356,7.91,14.10,335.78,17.75
20005653,"  5653 Camarillo (1992 WD5)",60800,1.794,0.3043,6.87,9.88,122.64,145.97
20005660,"  5660 (1974 MA)",60800,1.785,0.7621,38.14,302.12,127.05,80.71
20005693,"  5693 (1993 EA)",60800,1.271,0.5850,5.06,96.98,258.98,340.78
20005731,"  5731 Zeus (1988 VP4)",60800,2.266,0.6523,11.20,280.59,218.43,224.07
20005751,"  5751 Zao (1992 AC)",60800,2.102,0.4254,16.07,121.63,25.45,319.09
20005786,"  5786 Talos (1991 RC)",60800,1.082,0.8268,23.22,161.28,8.39,92.82
20005797,"  5797 Bivoj (1980 AA)",60800,1.894,0.4443,4.19,298.91,168.65,144.97
20005828,"  5828 (1991 AM)",60800,1.698,0.6949,30.14,125.38,152.82,146.66
20005836,"  5836 (1993 MF)",60800,2.441,0.5372,7.94,238.69,78.08,111.23
20005863,"  5863 Tara (1983 RB)",60800,2.221,0.5070,19.50,168.70,115.68,226.40
20005869,"  5869 Tanith (1988 VN4)",60800,1.812,0.3214,17.93,227.84,230.87,313.18
20005879,"  5879 Almeria (1992 CH1)",60800,1.625,0.2891,21.57,145.82,355.77,18.34
20006037,"  6037 (1988 EG)",60800,1.271,0.4997,3.51,182.17,242.33,27.19
20006047,"  6047 (1991 TB1)",60800,1.455,0.3522,23.47,6.07,103.82,354.78
20006050,"  6050 Miwablock (1992 AE)",60800,2.202,0.4372,6.41,88.16,285.02,93.55
20006053,"  6053 (1993 BW3)",60800,2.147,0.5285,21.58,318.22,74.95,144.71
20006063,"  6063 Jason (1984 KB)",60800,2.22,0.7623,4.96,169.02,337.62,159.48
20006178,"  6178 (1986 DA)",60800,2.814,0.5846,4.31,64.49,127.47,96.59
20006239,"  6239 Minos (1989 QF)",60800,1.151,0.4125,3.94,344.49,239.79,24.13
20006455,"  6455 (1992 HE)",60800,2.24,0.5728,37.34,26.89,262.74,288.91
20006456,"  6456 Golombek (1992 OM)",60800,2.193,0.4089,8.22,313.57,347.10,35.80
20006489,"  6489 Golevka (1991 JX)",60800,2.48,0.6173,2.26,209.12,69.01,202.14
20006491,"  6491 (1991 OA)",60800,2.506,0.5924,6.10,300.21,325.76,191.11
20006569,"  6569 Ondaatje (1993 MO)",60800,1.626,0.2208,22.64,111.45,167.32,124.14
20006611,"  6611 (1993 VW)",60800,1.696,0.4845,8.70,230.76,281.60,44.27
20007025,"  7025 (1993 QA)",60800,1.476,0.3150,12.61,146.59,323.47,124.69
20007088,"  7088 Ishtar (1992 AA)",60800,1.981,0.3904,8.30,102.61,354.79,342.47
20007092,"  7092 Cadmus (1992 LC)",60800,2.545,0.6936,17.79,56.71,94.77,79.08
20007236,"  7236 (1987 PA)",60800,2.725,0.5613,16.49,307.90,338.59,150.48
20007335,"  7335 (1989 JA)",60800,1.772,0.4846,15.17,61.28,232.28,72.73
20007336,"  7336 Saunders (1989 RS1)",60800,2.306,0.4817,7.20,174.44,181.57,62.02
20007341,"  7341 (1991 VK)",60800,1.842,0.5061,5.41,294.73,173.50,116.75
20007350,"  7350 (1993 VA)",60800,1.356,0.3911,7.26,133.05,336.71,308.59
20007358,"  7358 Oze (1995 YA3)",60800,2.199,0.5021,4.66,265.42,92.31,52.22
20007474,"  7474 (1992 TC)",60800,1.566,0.2921,7.09,88.60,275.64,230.19
20007480,"  7480 Norwan (1994 PC)",60800,1.568,0.3169,9.45,124.36,256.87,198.61
20007482,"  7482 (1994 PC1)",60800,1.349,0.3294,33.47,117.85,47.49,12.42
20007753,"  7753 (1988 XB)",60800,1.467,0.4816,3.12,73.39,280.07,206.77
20007822,"  7822 (1991 CS)",60800,1.123,0.1646,37.12,156.84,249.46,348.04
20007839,"  7839 (1994 ND)",60800,2.165,0.5186,27.12,102.50,228.31,229.89
20007888,"  7888 (1993 UC)",60800,2.438,0.6632,26.07,165.88,323.02,75.90
20007889,"  7889 (1994 LX)",60800,1.262,0.3463,36.91,111.26,349.19,116.21
20007977,"  7977 (1977 QQ5)",60800,2.225,0.4663,25.17,134.13,248.10,112.70
20008013,"  8013 Gordonmoore (1990 KA)",60800,2.201,0.4320,7.60,105.34,147.34,250.93
20008014,"  8014 (1990 MF)",60800,1.747,0.4559,1.87,209.84,114.73,16.84
20008034,"  8034 Akka (1992 LR)",60800,1.83,0.4090,2.02,232.82,68.21,84.65
20008035,"  8035 (1992 TB)",60800,1.342,0.4624,28.31,185.61,6.11,140.50
20008037,"  8037 (1993 HO1)",60800,1.987,0.4176,5.91,22.37,105.74,201.75
20008176,"  8176 (1991 WA)",60800,1.575,0.6432,39.59,66.51,241.88,0.59
20008201,"  8201 (1994 AH2)",60800,2.539,0.7061,9.54,164.09,25.12,248.28
20008507,"  8507 (1991 CB1)",60800,1.687,0.5945,14.59,317.39,345.80,99.33
20008566,"  8566 (1996 EN)",60800,1.506,0.4303,37.98,164.10,125.15,196.72
20008567,"  8567 (1996 HW1)",60800,2.046,0.4492,8.45,177.10,177.29,246.94
20008709,"  8709 Kadlu (1994 JF1)",60800,2.523,0.4939,3.54,118.94,153.95,231.36
20009058,"  9058 (1992 JB)",60800,1.557,0.3597,16.09,218.29,307.11,26.36
20009162,"  9162 Kwiila (1987 OA)",60800,1.497,0.5955,9.01,179.99,235.84,184.96
20009172,"  9172 Abhramu (1989 OB)",60800,2.709,0.5526,7.84,287.57,74.18,2.60
20009202,"  9202 (1993 PB)",60800,1.424,0.6078,40.80,315.89,212.36,341.08
20009400,"  9400 (1994 TW1)",60800,2.588,0.5808,35.99,3.36,62.16,98.55
20009856,"  9856 (1991 EE)",60800,2.243,0.6258,9.83,168.11,116.18,13.32
20009950,"  9950 ESA (1990 VB)",60800,2.438,0.5326,14.60,253.45,103.61,22.83
20010115," 10115 (1992 SK)",60800,1.249,0.3249,15.32,8.88,233.72,225.81
20010145," 10145 (1994 CK1)",60800,1.9,0.6325,4.55,328.37,27.46,63.64
20010150," 10150 (1994 PN)",60800,2.374,0.5441,45.96,112.97,234.01,121.61
20010165," 10165 (1995 BL2)",60800,1.235,0.5038,23.90,312.42,348.47,235.40
20010302," 10302 (1989 ML)",60800,1.273,0.1370,4.38,104.27,183.63,344.22
20010563," 10563 Izhdubar (1993 WD)",60800,1.007,0.2662,63.47,56.56,132.20,301.95
20010636," 10636 (1998 QK56)",60800,1.885,0.5128,13.58,172.93,286.33,75.43
20010860," 10860 (1995 LE)",60800,2.578,0.5743,4.15,257.19,75.53,63.98
20011054," 11054 (1991 FA)",60800,1.979,0.4466,3.08,339.05,92.37,144.84
20011066," 11066 Sigurd (1992 CC1)",60800,1.392,0.3754,36.88,349.22,22.02,195.25
20011284," 11284 Belenus (1990 BA)",60800,1.74,0.3373,1.99,311.70,171.15,130.25
20011311," 11311 Peleus (1993 XN2)",60800,2.116,0.5359,25.49,59.32,313.43,90.54
20011398," 11398 (1998 YP11)",60800,1.721,0.3894,15.02,144.73,74.77,194.36
20011405," 11405 (1999 CV3)",60800,1.46,0.3938,22.86,141.23,96.43,265.65
20011500," 11500 Tomaiyowit (1989 UR)",60800,1.08,0.3558,10.31,234.39,289.52,139.26
20011885," 11885 Summanus (1990 SS)",60800,1.703,0.4745,19.43,359.77,116.21,148.00
20012538," 12538 (1998 OH)",60800,1.542,0.4058,24.53,220.69,321.79,60.01
20012711," 12711 Tukmit (1991 BB)",60800,1.186,0.2722,38.49,294.96,322.88,83.85
20012923," 12923 Zephyr (1999 GK4)",60800,1.963,0.4922,5.31,168.12,147.17,123.20
20013553," 13553 Masaakikoyama (1992 JE)",60800,2.189,0.4636,5.88,193.46,109.95,34.04
20013651," 13651 (1997 BR)",60800,1.336,0.3058,17.25,116.63,133.86,30.35
20014402," 14402 (1991 DB)",60800,1.715,0.4016,11.41,158.14,51.55,53.27
20014827," 14827 Hypnos (1986 JK)",60800,2.844,0.6650,1.98,57.92,238.25,62.69
20015745," 15745 Yuliya (1991 PM5)",60800,1.72,0.2555,14.43,132.57,140.64,11.78
20015817," 15817 Lucianotesi (1994 QC)",60800,1.324,0.1182,13.87,162.47,94.27,109.47
20016064," 16064 Davidharvey (1999 RH27)",60800,2.85,0.5894,4.54,335.54,104.78,84.92
20016636," 16636 (1993 QP)",60800,2.31,0.4677,7.21,296.77,47.39,10.79
20016657," 16657 (1993 UB)",60800,2.277,0.4607,24.95,31.19,21.30,53.72
20016816," 16816 (1997 UF9)",60800,1.442,0.6038,25.92,37.14,158.00,209.27
20016834," 16834 (1997 WU22)",60800,1.468,0.4422,16.00,260.75,334.41,358.30
20016912," 16912 Rhiannon (1998 EP8)",60800,1.751,0.2726,24.52,169.17,221.26,9.71
20016960," 16960 (1998 QS52)",60800,2.201,0.8591,17.52,260.15,243.25,9.07
20017181," 17181 (1999 UM3)",60800,2.37,0.6740,10.65,113.56,36.77,329.97
20017182," 17182 (1999 VU)",60800,1.387,0.5533,9.27,333.48,203.22,146.37
20017188," 17188 (1999 WC2)",60800,2.216,0.6368,29.45,269.76,287.25,232.25
20017274," 17274 (2000 LC16)",60800,2.731,0.5540,5.57,305.70,21.33,173.11
20017511," 17511 (1992 QN)",60800,1.19,0.3587,9.58,355.89,202.44,162.82
20018106," 18106 Blume (2000 NX3)",60800,2.443,0.5120,4.22,109.17,234.95,164.28
20018109," 18109 (2000 NG11)",60800,1.881,0.3677,0.81,59.54,319.26,193.90
20018172," 18172 (2000 QL7)",60800,2.426,0.5111,17.83,338.44,100.74,154.53
20018736," 18736 (1998 NU)",60800,2.349,0.4911,2.81,297.42,222.92,254.42
20018882," 18882 (1999 YN4)",60800,1.685,0.2320,36.81,291.67,242.68,140.00
20019356," 19356 (1997 GH3)",60800,2.512,0.5577,3.01,186.47,334.14,43.74
20019764," 19764 (2000 NF5)",60800,2.234,0.4438,1.33,281.38,9.81,165.56
20020086," 20086 (1994 LW)",60800,3.172,0.6270,21.75,237.04,57.77,151.26
20020236," 20236 (1998 BZ7)",60800,2.033,0.5610,6.51,111.23,104.56,110.71
20020255," 20255 (1998 FX2)",60800,2.151,0.4922,9.96,180.93,17.55,207.30
20020425," 20425 (1998 VD35)",60800,1.565,0.4765,6.99,227.25,296.32,133.41
20020429," 20429 (1998 YN1)",60800,1.556,0.4642,6.30,61.73,147.71,143.96
20020460," 20460 Robwhiteley (1999 LO28)",60800,1.877,0.4117,33.95,279.99,283.75,60.14
20020790," 20790 (2000 SE45)",60800,2.753,0.5561,8.30,302.85,168.97,123.35
20020826," 20826 (2000 UV13)",60800,2.418,0.6364,31.93,347.28,198.69,145.80
20021088," 21088 Chelyabinsk (1992 BL2)",60800,1.707,0.2385,38.46,297.82,27.20,116.78
20021277," 21277 (1996 TO5)",60800,2.378,0.5204,20.95,167.34,250.18,260.58
20021374," 21374 (1997 WS22)",60800,1.269,0.1207,23.98,59.19,197.33,227.02
20022099," 22099 (2000 EX106)",60800,1.104,0.2763,9.85,136.43,186.57,129.98
20022753," 22753 (1998 WT)",60800,1.219,0.5700,3.21,307.35,324.82,311.80
20022771," 22771 (1999 CU3)",60800,1.576,0.5243,11.40,338.91,305.83,356.57
20023183," 23183 (2000 OY21)",60800,1.824,0.4009,40.98,119.63,301.49,319.11
20023187," 23187 (2000 PN9)",60800,1.847,0.5893,51.33,164.28,293.53,246.01
20023548," 23548 (1994 EF2)",60800,2.289,0.5180,23.44,345.85,124.28,10.07
20023606," 23606 (1996 AS1)",60800,1.75,0.3610,14.36,296.61,357.59,75.49
20023714," 23714 (1998 EC3)",60800,2.13,0.5164,8.43,127.46,129.59,227.78
20024443," 24443 (2000 OG)",60800,2.31,0.8224,25.74,178.07,231.24,3.50
20024445," 24445 (2000 PM8)",60800,2.211,0.5458,23.77,203.16,219.10,179.39
20024475," 24475 (2000 VN2)",60800,1.975,0.4416,14.63,76.40,32.70,284.82
20024761," 24761 Ahau (1993 BW2)",60800,1.335,0.3058,21.92,121.04,287.56,13.79
20025143," 25143 Itokawa (1998 SF36)",60800,1.324,0.2801,1.62,69.08,162.84,271.90
20025330," 25330 (1999 KV4)",60800,1.541,0.3709,14.33,50.52,86.11,232.19
20025916," 25916 (2001 CP44)",60800,2.558,0.4995,15.76,94.64,199.68,234.38
20026166," 26166 (1995 QN3)",60800,3.303,0.6446,14.79,185.70,62.86,4.38
20026310," 26310 (1998 TX6)",60800,2.139,0.4693,5.38,210.81,98.90,206.93
20026379," 26379 (1999 HZ1)",60800,1.606,0.5763,8.68,252.10,200.61,336.70
20026663," 26663 (2000 XK47)",60800,1.546,0.4718,13.53,303.59,231.22,211.34
20026760," 26760 (2001 KP41)",60800,2.854,0.5571,11.01,146.25,155.14,330.10
20026817," 26817 (1987 QB)",60800,2.804,0.5937,3.50,153.18,156.55,18.95
20027002," 27002 (1998 DV9)",60800,1.744,0.4334,8.70,130.34,0.82,289.23
20027031," 27031 (1998 RO4)",60800,2.139,0.4261,5.36,191.77,111.90,205.60
20027346," 27346 (2000 DN8)",60800,1.875,0.3990,36.95,135.18,269.30,11.88
20029075," 29075 (1950 DA)",60800,1.699,0.5075,12.15,356.55,224.83,312.29
20030825," 30825 (1990 TG1)",60800,2.436,0.6811,8.74,205.02,33.67,92.31
20030997," 30997 (1995 UO5)",60800,1.56,0.6431,36.25,38.62,151.16,307.46
20031210," 31210 (1998 BX7)",60800,2.606,0.5021,8.96,144.88,271.45,204.29
20031221," 31221 (1998 BP26)",60800,1.723,0.2570,20.22,331.01,186.77,12.10
20031345," 31345 (1998 PG)",60800,2.015,0.3915,6.50,222.68,156.20,99.76
20031346," 31346 (1998 PB1)",60800,2.031,0.4297,5.96,299.70,350.55,96.49
20031662," 31662 (1999 HP11)",60800,1.597,0.5479,18.82,13.94,312.02,256.53
20031669," 31669 (1999 JT6)",60800,2.137,0.5777,9.54,78.77,39.10,160.46
20032906," 32906 (1994 RH)",60800,2.247,0.4404,18.94,331.14,92.39,1.18
20033342," 33342 (1998 WT24)",60800,0.7187,0.4177,7.37,81.66,167.52,351.03
20034613," 34613 (2000 UR13)",60800,2.071,0.3863,6.18,315.17,286.33,206.44
20035107," 35107 (1991 VH)",60800,1.137,0.1442,13.91,139.33,206.94,263.10
20035396," 35396 (1997 XF11)",60800,1.442,0.4837,4.10,213.65,103.03,25.95
20035432," 35432 (1998 BG9)",60800,2.5,0.5457,13.15,115.32,1.61,309.26
20035670," 35670 (1998 SU27)",60800,2.122,0.5964,7.14,271.33,169.86,194.17
20036017," 36017 (1999 ND43)",60800,1.523,0.3142,5.55,332.06,52.13,215.51
20036183," 36183 (1999 TX16)",60800,1.551,0.3324,38.22,54.64,311.22,110.49
20036236," 36236 (1999 VV)",60800,1.332,0.4239,58.04,241.07,19.80,328.66
20036284," 36284 (2000 DM8)",60800,1.484,0.5538,46.77,323.14,317.97,237.39
20037336," 37336 (2001 RM)",60800,2.253,0.4830,36.67,223.64,118.03,7.81
20037638," 37638 (1993 VB)",60800,1.913,0.5200,5.08,145.56,323.21,311.06
20037655," 37655 Illapa (1994 PM)",60800,1.478,0.7525,18.03,139.52,303.91,4.72
20038071," 38071 (1999 GU3)",60800,2.09,0.5072,12.74,195.49,8.80,227.39
20038086," 38086 Beowulf (1999 JB)",60800,1.42,0.5661,23.67,165.32,178.97,73.29
20038091," 38091 (1999 JT3)",60800,2.17,0.4012,9.33,64.82,225.02,8.28
20038239," 38239 (1999 OR3)",60800,2.036,0.5757,9.40,199.76,28.57,336.91
20039557," 39557 Gielgud (1992 JG)",60800,2.264,0.4259,5.55,58.47,239.97,210.19
20039565," 39565 (1992 SL)",60800,1.642,0.3343,8.60,0.94,344.79,189.71
20039572," 39572 (1993 DQ1)",60800,2.036,0.4928,10.03,313.50,344.84,273.67
20039796," 39796 (1997 TD)",60800,2.252,0.4678,12.91,158.92,171.05,68.52
20040263," 40263 (1999 FQ5)",60800,1.495,0.1610,25.84,172.80,198.71,259.69
20040267," 40267 (1999 GJ4)",60800,1.339,0.8084,34.48,148.21,211.96,163.73
20040329," 40329 (1999 ML)",60800,2.265,0.4550,2.52,210.90,112.00,198.01
20041429," 41429 (2000 GE2)",60800,1.593,0.5554,2.17,351.86,297.28,140.90
20041440," 41440 (2000 HZ23)",60800,1.576,0.2113,15.11,64.04,200.10,204.81
20042286," 42286 (2001 TN41)",60800,1.419,0.3916,24.08,55.82,150.95,225.23
20048603," 48603 (1995 BC2)",60800,1.918,0.4298,5.02,328.22,81.83,177.08
20052340," 52340 (1992 SY)",60800,2.211,0.5478,8.08,5.23,116.36,278.87
20052381," 52381 (1993 HA)",60800,1.278,0.1440,7.73,183.25,263.88,175.66
20052387," 52387 Huitzilopochtli (1993 OM7)",60800,1.282,0.1896,24.15,297.56,195.56,120.19
20052689," 52689 (1998 FF2)",60800,1.562,0.2925,10.98,4.64,265.22,264.32
20052750," 52750 (1998 KK17)",60800,1.427,0.5249,11.17,141.31,334.15,342.58
20052760," 52760 (1998 ML14)",60800,2.409,0.6234,2.43,338.66,20.38,39.80
20052761," 52761 (1998 MN14)",60800,1.555,0.2243,19.49,258.97,350.53,323.07
20052762," 52762 (1998 MT24)",60800,2.416,0.6531,33.86,308.94,254.52,81.69
20052768," 52768 (1998 OR2)",60800,2.38,0.5756,5.88,26.93,174.58,134.93
20053110," 53110 (1999 AR7)",60800,1.645,0.2145,40.63,85.42,58.23,128.95
20053319," 53319 (1999 JM8)",60800,2.724,0.6414,13.84,133.62,166.79,272.66
20053409," 53409 (1999 LU7)",60800,2.101,0.6282,10.88,206.69,147.76,149.41
20053426," 53426 (1999 SL5)",60800,1.922,0.5396,22.77,239.04,43.40,241.81
20053429," 53429 (1999 TF5)",60800,2.022,0.6411,26.78,199.16,64.09,350.15
20053430," 53430 (1999 TY16)",60800,2.099,0.4033,60.41,241.92,156.97,155.06
20053435," 53435 Leonard (1999 VM40)",60800,2.311,0.4832,15.35,51.35,354.48,105.48
20053550," 53550 (2000 BF19)",60800,1.495,0.4196,7.18,313.12,325.01,174.99
20053789," 53789 (2000 ED104)",60800,1.371,0.2692,40.78,190.02,218.36,359.73
20054071," 54071 (2000 GQ146)",60800,1.329,0.1973,23.44,36.33,128.31,161.50
20054401," 54401 (2000 LM)",60800,1.711,0.2623,18.95,240.84,67.05,25.16
